FieldKey,status,pkl,meta
Hantane Top_NC 3,saved,sarimax_models_fields\Hantane_Top_NC_3_sarimax.pkl,sarimax_models_fields\Hantane_Top_NC_3_meta.json
Hantane Top_NC 4,saved,sarimax_models_fields\Hantane_Top_NC_4_sarimax.pkl,sarimax_models_fields\Hantane_Top_NC_4_meta.json
Kitoolmoola_23,saved,sarimax_models_fields\Kitoolmoola_23_sarimax.pkl,sarimax_models_fields\Kitoolmoola_23_meta.json
Kitoolmoola_27,saved,sarimax_models_fields\Kitoolmoola_27_sarimax.pkl,sarimax_models_fields\Kitoolmoola_27_meta.json
Kitoolmoola_28,saved,sarimax_models_fields\Kitoolmoola_28_sarimax.pkl,sarimax_models_fields\Kitoolmoola_28_meta.json
Kitoolmoola_29,saved,sarimax_models_fields\Kitoolmoola_29_sarimax.pkl,sarimax_models_fields\Kitoolmoola_29_meta.json
Kitoolmoola_32,saved,sarimax_models_fields\Kitoolmoola_32_sarimax.pkl,sarimax_models_fields\Kitoolmoola_32_meta.json
Kitoolmoola_36,saved,sarimax_models_fields\Kitoolmoola_36_sarimax.pkl,sarimax_models_fields\Kitoolmoola_36_meta.json
Kitoolmoola_NC 1,saved,sarimax_models_fields\Kitoolmoola_NC_1_sarimax.pkl,sarimax_models_fields\Kitoolmoola_NC_1_meta.json
Kitoolmoola_NC 2,saved,sarimax_models_fields\Kitoolmoola_NC_2_sarimax.pkl,sarimax_models_fields\Kitoolmoola_NC_2_meta.json
Kitoolmoola_NC 3,saved,sarimax_models_fields\Kitoolmoola_NC_3_sarimax.pkl,sarimax_models_fields\Kitoolmoola_NC_3_meta.json
Kitoolmoola_NC 4,saved,sarimax_models_fields\Kitoolmoola_NC_4_sarimax.pkl,sarimax_models_fields\Kitoolmoola_NC_4_meta.json
Kitoolmoola_NC 5,saved,sarimax_models_fields\Kitoolmoola_NC_5_sarimax.pkl,sarimax_models_fields\Kitoolmoola_NC_5_meta.json
Kitoolmoola_NC 6,saved,sarimax_models_fields\Kitoolmoola_NC_6_sarimax.pkl,sarimax_models_fields\Kitoolmoola_NC_6_meta.json
Kitoolmoola_NC 7,saved,sarimax_models_fields\Kitoolmoola_NC_7_sarimax.pkl,sarimax_models_fields\Kitoolmoola_NC_7_meta.json
Kitoolmoola_NC 8,saved,sarimax_models_fields\Kitoolmoola_NC_8_sarimax.pkl,sarimax_models_fields\Kitoolmoola_NC_8_meta.json
Middle_10,saved,sarimax_models_fields\Middle_10_sarimax.pkl,sarimax_models_fields\Middle_10_meta.json
Middle_11,saved,sarimax_models_fields\Middle_11_sarimax.pkl,sarimax_models_fields\Middle_11_meta.json
Middle_14 A,saved,sarimax_models_fields\Middle_14_A_sarimax.pkl,sarimax_models_fields\Middle_14_A_meta.json
Middle_14 B,saved,sarimax_models_fields\Middle_14_B_sarimax.pkl,sarimax_models_fields\Middle_14_B_meta.json
Middle_7 A,saved,sarimax_models_fields\Middle_7_A_sarimax.pkl,sarimax_models_fields\Middle_7_A_meta.json
Middle_9 B,saved,sarimax_models_fields\Middle_9_B_sarimax.pkl,sarimax_models_fields\Middle_9_B_meta.json
Middle_NC 1,saved,sarimax_models_fields\Middle_NC_1_sarimax.pkl,sarimax_models_fields\Middle_NC_1_meta.json
Middle_NC 2,saved,sarimax_models_fields\Middle_NC_2_sarimax.pkl,sarimax_models_fields\Middle_NC_2_meta.json
Middle_NC 3,saved,sarimax_models_fields\Middle_NC_3_sarimax.pkl,sarimax_models_fields\Middle_NC_3_meta.json
Middle_NC 4,saved,sarimax_models_fields\Middle_NC_4_sarimax.pkl,sarimax_models_fields\Middle_NC_4_meta.json
Oduwella Top_15 A,saved,sarimax_models_fields\Oduwella_Top_15_A_sarimax.pkl,sarimax_models_fields\Oduwella_Top_15_A_meta.json
Oduwella Top_15 B,saved,sarimax_models_fields\Oduwella_Top_15_B_sarimax.pkl,sarimax_models_fields\Oduwella_Top_15_B_meta.json
Oduwella Top_17 A,saved,sarimax_models_fields\Oduwella_Top_17_A_sarimax.pkl,sarimax_models_fields\Oduwella_Top_17_A_meta.json
Oduwella Top_18 B,saved,sarimax_models_fields\Oduwella_Top_18_B_sarimax.pkl,sarimax_models_fields\Oduwella_Top_18_B_meta.json
Oduwella Top_NC 1,saved,sarimax_models_fields\Oduwella_Top_NC_1_sarimax.pkl,sarimax_models_fields\Oduwella_Top_NC_1_meta.json
Oduwella Top_NC 2,saved,sarimax_models_fields\Oduwella_Top_NC_2_sarimax.pkl,sarimax_models_fields\Oduwella_Top_NC_2_meta.json
Ooragalla_19,saved,sarimax_models_fields\Ooragalla_19_sarimax.pkl,sarimax_models_fields\Ooragalla_19_meta.json
Ooragalla_24,saved,sarimax_models_fields\Ooragalla_24_sarimax.pkl,sarimax_models_fields\Ooragalla_24_meta.json
Ooragalla_26,saved,sarimax_models_fields\Ooragalla_26_sarimax.pkl,sarimax_models_fields\Ooragalla_26_meta.json
Ooragalla_27,saved,sarimax_models_fields\Ooragalla_27_sarimax.pkl,sarimax_models_fields\Ooragalla_27_meta.json
Ooragalla_28,saved,sarimax_models_fields\Ooragalla_28_sarimax.pkl,sarimax_models_fields\Ooragalla_28_meta.json
Ooragalla_28 A,saved,sarimax_models_fields\Ooragalla_28_A_sarimax.pkl,sarimax_models_fields\Ooragalla_28_A_meta.json
Ooragalla_29,saved,sarimax_models_fields\Ooragalla_29_sarimax.pkl,sarimax_models_fields\Ooragalla_29_meta.json
Ooragalla_NC 1,saved,sarimax_models_fields\Ooragalla_NC_1_sarimax.pkl,sarimax_models_fields\Ooragalla_NC_1_meta.json
Ooragalla_NC 2,saved,sarimax_models_fields\Ooragalla_NC_2_sarimax.pkl,sarimax_models_fields\Ooragalla_NC_2_meta.json
West_10,saved,sarimax_models_fields\West_10_sarimax.pkl,sarimax_models_fields\West_10_meta.json
West_11 A,saved,sarimax_models_fields\West_11_A_sarimax.pkl,sarimax_models_fields\West_11_A_meta.json
West_11 B,saved,sarimax_models_fields\West_11_B_sarimax.pkl,sarimax_models_fields\West_11_B_meta.json
West_20/21,saved,sarimax_models_fields\West_20_21_sarimax.pkl,sarimax_models_fields\West_20_21_meta.json
West_7,saved,sarimax_models_fields\West_7_sarimax.pkl,sarimax_models_fields\West_7_meta.json
West_NC 1,saved,sarimax_models_fields\West_NC_1_sarimax.pkl,sarimax_models_fields\West_NC_1_meta.json
West_NC 2,saved,sarimax_models_fields\West_NC_2_sarimax.pkl,sarimax_models_fields\West_NC_2_meta.json
West_NC 3,saved,sarimax_models_fields\West_NC_3_sarimax.pkl,sarimax_models_fields\West_NC_3_meta.json
West_NC 4,saved,sarimax_models_fields\West_NC_4_sarimax.pkl,sarimax_models_fields\West_NC_4_meta.json
