doc_id,category,title,content,tags,source,source_id,char_count,word_count,sentence_count,tag_count,content_clean
CUL_011,cultivar,TRI 5002 - Excellent Quality New Release,"TRI 5002, released alongside TRI 5001 in 2019, is noted for producing tea of excellent quality. The cultivar shows highly resistant characteristics against blister blight but has some susceptibility to shot hole borer. TRI 5002 is specifically recommended for up country cultivation where its quality potential can be fully realized. The tea produced has exceptional brightness, aroma, and flavor complexity that commands premium prices. This cultivar is ideal for estates focusing on specialty and single-origin market segments.","['TRI 5002', 'excellent quality', 'blister blight resistant', 'up country', 'premium tea']",,,529,77,5,5,tri 5002 released alongside tri 5001 in 2019 is noted for producing tea of excellent quality. the cultivar shows highly resistant characteristics against blister blight but has some susceptibility to shot hole borer. tri 5002 is specifically recommended for up country cultivation where its quality potential can be fully realized. the tea produced has exceptional brightness aroma and flavor complexity that commands premium prices. this cultivar is ideal for estates focusing on specialty and single-origin market segments.
CUL_012,cultivar,TRI 5003 - Nematode Tolerant New Generation,"TRI 5003 combines the yield advantages of the TRI 5000 series with high nematode tolerance inherited from earlier breeding lines. This cultivar addresses the continuing need for nematode-resistant varieties in Sri Lankan tea lands. TRI 5003 is suitable for both up country and mid country regions and also shows good blister blight resistance. The dual resistance characteristics make it valuable for areas where both pests are present. Tea quality is good, and yields meet the enhanced expectations of the 5000 series.","['TRI 5003', 'nematode tolerant', 'blister blight resistant', 'TRI 5000 series', 'mid country']",,,519,81,5,5,tri 5003 combines the yield advantages of the tri 5000 series with high nematode tolerance inherited from earlier breeding lines. this cultivar addresses the continuing need for nematode-resistant varieties in sri lankan tea lands. tri 5003 is suitable for both up country and mid country regions and also shows good blister blight resistance. the dual resistance characteristics make it valuable for areas where both pests are present. tea quality is good and yields meet the enhanced expectations of the 5000 series.
CUL_013,cultivar,TRI 5004 - Balanced Performance Cultivar,"TRI 5004 completes the initial TRI 5000 series release, offering balanced performance across yield, quality, and disease resistance parameters. The cultivar shows good blister blight resistance and moderate nematode tolerance. TRI 5004 is recommended for up country cultivation and produces tea with consistent quality characteristics. This cultivar is suitable for estates seeking reliable performance without extreme specialization in any single trait. It represents a safe choice for diversified planting programs.","['TRI 5004', 'balanced performance', 'up country', 'blister blight resistant', 'reliable']",,,517,70,5,5,tri 5004 completes the initial tri 5000 series release offering balanced performance across yield quality and disease resistance parameters. the cultivar shows good blister blight resistance and moderate nematode tolerance. tri 5004 is recommended for up country cultivation and produces tea with consistent quality characteristics. this cultivar is suitable for estates seeking reliable performance without extreme specialization in any single trait. it represents a safe choice for diversified planting programs.
CUL_014,cultivar,"Estate Selections - DN, DG7, DT1, DUN7","Beyond TRI cultivars, several estate selections have proven commercially valuable in Sri Lanka. DN (Deniyaya Selection) originated from the Deniyaya region and shows local adaptation. DG7 is well-suited for low country conditions with good yield potential. DT1 stands out for its drought tolerance, making it valuable for areas with unreliable rainfall. DUN7 (Dun 7 Selection) is an established estate selection with proven performance. These selections complement TRI varieties and provide genetic diversity in commercial plantings.","['estate selections', 'DN', 'DG7', 'DT1', 'DUN7', 'genetic diversity']",,,533,75,6,6,beyond tri cultivars several estate selections have proven commercially valuable in sri lanka. dn deniyaya selection originated from the deniyaya region and shows local adaptation. dg7 is well-suited for low country conditions with good yield potential. dt1 stands out for its drought tolerance making it valuable for areas with unreliable rainfall. dun7 dun 7 selection is an established estate selection with proven performance. these selections complement tri varieties and provide genetic diversity in commercial plantings.
REG_001,region,Nuwara Eliya - The Champagne of Ceylon Tea,"Nuwara Eliya, often called 'Little England', produces the most delicate and prized Ceylon teas. Located at an average elevation of 1,868 meters (6,128 feet), it represents the highest tea-growing region in Sri Lanka. The cool climate, with temperatures rarely exceeding 20°C, results in slow leaf growth that concentrates flavor compounds. Nuwara Eliya teas are characterized by their exceptionally light, golden liquor with greenish-yellow tones - the lightest of all Ceylon teas. The flavor profile features exquisite bouquet with delicate fragrance, brightness, and briskness. Distinctive notes of cypress, wild mint, and eucalyptus distinguish these teas. The Western Quality Season from January to March and Eastern Quality Season in August-September produce the finest teas when cool, dry winds enhance quality. Nuwara Eliya tea is often compared to Champagne in the wine world - representing the pinnacle of Ceylon tea excellence.","['Nuwara Eliya', 'high grown', 'Little England', 'premium tea', 'light liquor', 'delicate']",,,937,138,8,6,nuwara eliya often called little england produces the most delicate and prized ceylon teas. located at an average elevation of 1 868 meters 6 128 feet it represents the highest tea-growing region in sri lanka. the cool climate with temperatures rarely exceeding 20 c results in slow leaf growth that concentrates flavor compounds. nuwara eliya teas are characterized by their exceptionally light golden liquor with greenish-yellow tones - the lightest of all ceylon teas. the flavor profile features exquisite bouquet with delicate fragrance brightness and briskness. distinctive notes of cypress wild mint and eucalyptus distinguish these teas. the western quality season from january to march and eastern quality season in august-september produce the finest teas when cool dry winds enhance quality. nuwara eliya tea is often compared to champagne in the wine world - representing the pinnacle of ceylon tea excellence.
REG_002,region,Dimbula - Classic High Grown Character,"Dimbula is one of the most celebrated high-grown tea districts in Sri Lanka, with elevations ranging from 1,100 to 1,700 meters (3,500-5,500 feet). The region was among the earliest districts planted with tea after the coffee blight devastated plantations in the 1870s. Dimbula teas are renowned for their fine golden-orange hue, brightness, and refreshingly mellow character with hints of jasmine and cypress. The body ranges from medium to full, making these teas versatile for various brewing preferences. The Quality Season from January to April, during the dry period influenced by the southwest monsoon, produces the most sought-after Dimbula teas. The region's combination of altitude, rainfall pattern, and soil creates ideal conditions for producing teas with excellent keeping qualities and consistent character that has made Dimbula a benchmark for Ceylon high-grown teas.","['Dimbula', 'high grown', 'classic Ceylon', 'golden-orange', 'mellow', 'quality season']",,,883,131,6,6,dimbula is one of the most celebrated high-grown tea districts in sri lanka with elevations ranging from 1 100 to 1 700 meters 3 500-5 500 feet . the region was among the earliest districts planted with tea after the coffee blight devastated plantations in the 1870s. dimbula teas are renowned for their fine golden-orange hue brightness and refreshingly mellow character with hints of jasmine and cypress. the body ranges from medium to full making these teas versatile for various brewing preferences. the quality season from january to april during the dry period influenced by the southwest monsoon produces the most sought-after dimbula teas. the region s combination of altitude rainfall pattern and soil creates ideal conditions for producing teas with excellent keeping qualities and consistent character that has made dimbula a benchmark for ceylon high-grown teas.
REG_003,region,Uva - Unique Monsoon-Influenced Teas,"Uva is a distinctive tea region producing some of the most exotic Ceylon teas due to its unique exposure to both the northeast and southwest monsoons. Located on the eastern slopes of the central highlands at 1,000-1,600 meters (3,000-5,000 feet), Uva experiences weather patterns unlike any other tea region. The famous Uva Season from July to September occurs when the Cachan wind - a dry wind from the northeast monsoon - sweeps across the region, causing leaves to dehydrate slightly on the bush. This natural withering concentrates flavor compounds, producing teas with distinctive mellow, smooth, and exotic aromatic character. The bright, coppery liquor and unique flavor profile have made Uva teas highly prized. Thomas Lipton famously introduced Americans to tea using Uva teas, establishing the region's international reputation. Uva teas are particularly valued in Middle Eastern and European markets.","['Uva', 'monsoon influence', 'exotic', 'Cachan wind', 'mellow', 'coppery liquor']",,,912,139,7,6,uva is a distinctive tea region producing some of the most exotic ceylon teas due to its unique exposure to both the northeast and southwest monsoons. located on the eastern slopes of the central highlands at 1 000-1 600 meters 3 000-5 000 feet uva experiences weather patterns unlike any other tea region. the famous uva season from july to september occurs when the cachan wind - a dry wind from the northeast monsoon - sweeps across the region causing leaves to dehydrate slightly on the bush. this natural withering concentrates flavor compounds producing teas with distinctive mellow smooth and exotic aromatic character. the bright coppery liquor and unique flavor profile have made uva teas highly prized. thomas lipton famously introduced americans to tea using uva teas establishing the region s international reputation. uva teas are particularly valued in middle eastern and european markets.
REG_004,region,Uda Pussellawa - Distinctive Eastern Highland Teas,"Uda Pussellawa lies adjacent to Nuwara Eliya on the eastern slopes of Sri Lanka's central highlands. The region produces teas that share some characteristics with Nuwara Eliya but with their own distinctive character. The eastern exposure means Uda Pussellawa experiences different weather patterns, particularly during the monsoon transitions. Teas from this region have medium body with rose-like notes and a delicate astringency. The quality season aligns with the dry period when southeast winds prevail. Uda Pussellawa teas are known for their pinkish hue when brewed and subtle complexity. While less well-known internationally than Nuwara Eliya or Uva, Uda Pussellawa produces excellent teas that are gaining recognition among connoisseurs seeking distinctive Ceylon origins.","['Uda Pussellawa', 'high grown', 'eastern highlands', 'rose notes', 'medium body']",,,782,112,7,5,uda pussellawa lies adjacent to nuwara eliya on the eastern slopes of sri lanka s central highlands. the region produces teas that share some characteristics with nuwara eliya but with their own distinctive character. the eastern exposure means uda pussellawa experiences different weather patterns particularly during the monsoon transitions. teas from this region have medium body with rose-like notes and a delicate astringency. the quality season aligns with the dry period when southeast winds prevail. uda pussellawa teas are known for their pinkish hue when brewed and subtle complexity. while less well-known internationally than nuwara eliya or uva uda pussellawa produces excellent teas that are gaining recognition among connoisseurs seeking distinctive ceylon origins.
REG_005,region,Kandy - The Original Ceylon Tea District,"Kandy, the ancient royal capital of Sri Lanka, holds special significance in tea history as the region where commercial tea cultivation began. Situated at 600-1,200 meters (2,000-4,000 feet) in the mid country zone, Kandy produces medium-grown teas with distinctive character. The relatively lower elevation compared to high-grown regions results in faster leaf growth and more robust teas. Kandy teas are characterized by bright infusion with coppery tones, strong and malty flavor, and full body. These teas are particularly popular for morning drinking and pair well with milk. The region's rich biodiversity and traditional plucking methods contribute to consistent quality. Kandy teas represent excellent value, offering good strength and flavor without the premium prices of high-grown teas.","['Kandy', 'mid country', 'original Ceylon', 'malty', 'full body', 'bright infusion']",,,797,116,7,6,kandy the ancient royal capital of sri lanka holds special significance in tea history as the region where commercial tea cultivation began. situated at 600-1 200 meters 2 000-4 000 feet in the mid country zone kandy produces medium-grown teas with distinctive character. the relatively lower elevation compared to high-grown regions results in faster leaf growth and more robust teas. kandy teas are characterized by bright infusion with coppery tones strong and malty flavor and full body. these teas are particularly popular for morning drinking and pair well with milk. the region s rich biodiversity and traditional plucking methods contribute to consistent quality. kandy teas represent excellent value offering good strength and flavor without the premium prices of high-grown teas.
REG_006,region,Ruhuna - Bold Low Country Character,"Ruhuna encompasses the southern low country tea districts including Galle and Matara, producing distinctively bold teas at elevations from sea level to 600 meters (2,000 feet). The warmer climate accelerates leaf growth, resulting in larger leaves with different chemical composition than highland teas. Ruhuna teas are characterized by dark, strong liquor and bold, robust flavor - quite different from the delicacy of high-grown teas. These characteristics make Ruhuna teas ideal for blending, where they provide body, strength, and color to create balanced commercial blends. The teas also perform well with milk and sugar, popular in traditional tea preparations. Low country production represents a significant portion of Sri Lanka's total tea output and supports many smallholder farmers in the southern regions.","['Ruhuna', 'low country', 'bold', 'strong', 'blending tea', 'Galle', 'Matara']",,,818,120,6,7,ruhuna encompasses the southern low country tea districts including galle and matara producing distinctively bold teas at elevations from sea level to 600 meters 2 000 feet . the warmer climate accelerates leaf growth resulting in larger leaves with different chemical composition than highland teas. ruhuna teas are characterized by dark strong liquor and bold robust flavor - quite different from the delicacy of high-grown teas. these characteristics make ruhuna teas ideal for blending where they provide body strength and color to create balanced commercial blends. the teas also perform well with milk and sugar popular in traditional tea preparations. low country production represents a significant portion of sri lanka s total tea output and supports many smallholder farmers in the southern regions.
REG_007,region,Sabaragamuwa - Emerging Low Country Quality,"Sabaragamuwa is a low country tea region that has gained recognition for producing quality teas despite its lower elevation. Located in the wet zone of southwestern Sri Lanka, the region benefits from abundant rainfall and rich soils. Sabaragamuwa teas typically have medium to full body with hints of caramel and spice. The region is known for both orthodox and CTC production, with many smallholders contributing to overall output. Modern processing techniques and improved cultivars have enhanced the quality reputation of Sabaragamuwa teas. The region represents good value for everyday drinking teas while some estates produce premium grades that rival mid country teas in quality.","['Sabaragamuwa', 'low country', 'caramel notes', 'wet zone', 'smallholder']",,,686,104,6,5,sabaragamuwa is a low country tea region that has gained recognition for producing quality teas despite its lower elevation. located in the wet zone of southwestern sri lanka the region benefits from abundant rainfall and rich soils. sabaragamuwa teas typically have medium to full body with hints of caramel and spice. the region is known for both orthodox and ctc production with many smallholders contributing to overall output. modern processing techniques and improved cultivars have enhanced the quality reputation of sabaragamuwa teas. the region represents good value for everyday drinking teas while some estates produce premium grades that rival mid country teas in quality.
REG_008,region,Elevation Categories and Tea Quality,"Sri Lankan tea is classified into three elevation categories that fundamentally influence tea character. High Grown (Up Country) teas from above 1,200 meters produce the most delicate, complex, and prized teas with light liquor and subtle flavors. Medium Grown (Mid Country) teas from 600-1,200 meters balance body and flavor, producing versatile teas with good strength and character. Low Grown (Low Country) teas from below 600 meters produce bold, strong teas ideal for blending and traditional preparations. The elevation effect relates to temperature - cooler temperatures slow leaf growth, allowing accumulation of flavor compounds, amino acids, and aromatic substances. Higher elevation teas command premium prices, while low elevation teas provide volume and strength for commercial blends. The Lion Logo certification on Ceylon tea guarantees origin and quality standards regardless of elevation category.","['elevation', 'high grown', 'mid grown', 'low grown', 'quality factors', 'Lion Logo']",,,914,131,7,6,sri lankan tea is classified into three elevation categories that fundamentally influence tea character. high grown up country teas from above 1 200 meters produce the most delicate complex and prized teas with light liquor and subtle flavors. medium grown mid country teas from 600-1 200 meters balance body and flavor producing versatile teas with good strength and character. low grown low country teas from below 600 meters produce bold strong teas ideal for blending and traditional preparations. the elevation effect relates to temperature - cooler temperatures slow leaf growth allowing accumulation of flavor compounds amino acids and aromatic substances. higher elevation teas command premium prices while low elevation teas provide volume and strength for commercial blends. the lion logo certification on ceylon tea guarantees origin and quality standards regardless of elevation category.
GRD_001,grade,Orange Pekoe (OP) - Premier Whole Leaf Grade,"Orange Pekoe (OP) is the highest main grade of whole leaf Ceylon tea, representing the standard for quality leaf tea production. Despite its name, Orange Pekoe contains no orange flavoring - the term likely derives from the Dutch House of Orange or the copper color of oxidized leaf. OP consists of long, wiry, thin leaves that are carefully rolled to preserve their integrity. The leaves unfurl beautifully when brewed, releasing delicate fragrance and producing a light to medium bodied infusion. OP teas are prized for their smooth character without bitterness when properly brewed. This grade is typically produced from the youngest leaves and represents careful plucking and processing standards. OP is the benchmark grade against which other whole leaf grades are compared.","['Orange Pekoe', 'OP', 'whole leaf', 'premium grade', 'long leaves']",,,779,122,7,5,orange pekoe op is the highest main grade of whole leaf ceylon tea representing the standard for quality leaf tea production. despite its name orange pekoe contains no orange flavoring - the term likely derives from the dutch house of orange or the copper color of oxidized leaf. op consists of long wiry thin leaves that are carefully rolled to preserve their integrity. the leaves unfurl beautifully when brewed releasing delicate fragrance and producing a light to medium bodied infusion. op teas are prized for their smooth character without bitterness when properly brewed. this grade is typically produced from the youngest leaves and represents careful plucking and processing standards. op is the benchmark grade against which other whole leaf grades are compared.
GRD_002,grade,Orange Pekoe 1 (OP1) - Superior Whole Leaf,"Orange Pekoe 1 (OP1) represents a higher quality tier within the Orange Pekoe classification, distinguished by greater tip content and more careful leaf selection. The '1' designation indicates superior sorting and quality control during processing. OP1 leaves tend to be more uniform in size and appearance with visible golden or silver tips indicating young leaf shoots. When brewed, OP1 produces a more refined infusion than standard OP with enhanced aroma and brightness. This grade commands premium prices at auction and is sought after for single-origin presentations where leaf appearance and cup quality both matter. OP1 is particularly associated with high-grown regions where growing conditions favor tip development.","['OP1', 'Orange Pekoe 1', 'tips', 'superior grade', 'premium']",,,727,107,6,5,orange pekoe 1 op1 represents a higher quality tier within the orange pekoe classification distinguished by greater tip content and more careful leaf selection. the 1 designation indicates superior sorting and quality control during processing. op1 leaves tend to be more uniform in size and appearance with visible golden or silver tips indicating young leaf shoots. when brewed op1 produces a more refined infusion than standard op with enhanced aroma and brightness. this grade commands premium prices at auction and is sought after for single-origin presentations where leaf appearance and cup quality both matter. op1 is particularly associated with high-grown regions where growing conditions favor tip development.
GRD_003,grade,Flowery Orange Pekoe (FOP) - Tippy Whole Leaf,"Flowery Orange Pekoe (FOP) is a whole leaf grade characterized by the presence of tips or buds mixed with the leaves. The term 'flowery' refers to the tips, which were historically called 'flowers' in tea terminology. Tips are the unopened leaf buds that contain high concentrations of flavor compounds and appear as golden or silvery strands among the darker leaves. FOP indicates careful plucking of young shoots and gentle processing to preserve the delicate tips. The presence of tips enhances both visual appeal and cup quality, contributing aromatic complexity and sweetness. FOP grades are premium offerings that showcase the finest plucking standards of an estate.","['FOP', 'Flowery Orange Pekoe', 'tips', 'buds', 'premium whole leaf']",,,672,105,6,5,flowery orange pekoe fop is a whole leaf grade characterized by the presence of tips or buds mixed with the leaves. the term flowery refers to the tips which were historically called flowers in tea terminology. tips are the unopened leaf buds that contain high concentrations of flavor compounds and appear as golden or silvery strands among the darker leaves. fop indicates careful plucking of young shoots and gentle processing to preserve the delicate tips. the presence of tips enhances both visual appeal and cup quality contributing aromatic complexity and sweetness. fop grades are premium offerings that showcase the finest plucking standards of an estate.
GRD_004,grade,Tippy Golden Flowery Orange Pekoe (TGFOP),"Tippy Golden Flowery Orange Pekoe (TGFOP) represents an elite grade with exceptional tip content. The 'Tippy' designation indicates an abundance of golden tips throughout the leaf, while 'Golden' describes the color of these tips from young leaf buds. TGFOP is among the highest grades of whole leaf tea and commands significant premiums. The high tip content results from selective plucking of only the finest shoots and careful processing to preserve tip integrity. When brewed, TGFOP produces complex, aromatic infusions with natural sweetness and refined character. This grade is typically reserved for special productions and limited releases from premium estates.","['TGFOP', 'golden tips', 'elite grade', 'tippy', 'premium']",,,669,99,6,5,tippy golden flowery orange pekoe tgfop represents an elite grade with exceptional tip content. the tippy designation indicates an abundance of golden tips throughout the leaf while golden describes the color of these tips from young leaf buds. tgfop is among the highest grades of whole leaf tea and commands significant premiums. the high tip content results from selective plucking of only the finest shoots and careful processing to preserve tip integrity. when brewed tgfop produces complex aromatic infusions with natural sweetness and refined character. this grade is typically reserved for special productions and limited releases from premium estates.
